Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2025-10-01T00:00Z,130,135,moderate
2025-10-01T00:30Z,130,130,moderate
2025-10-01T01:00Z,126,130,moderate
2025-10-01T01:30Z,126,131,moderate
2025-10-01T02:00Z,127,125,moderate
2025-10-01T02:30Z,126,131,moderate
2025-10-01T03:00Z,127,127,moderate
2025-10-01T03:30Z,128,127,moderate
2025-10-01T04:00Z,136,128,moderate
2025-10-01T04:30Z,146,130,moderate
2025-10-01T05:00Z,165,133,moderate
2025-10-01T05:30Z,176,153,moderate
2025-10-01T06:00Z,184,179,high
2025-10-01T06:30Z,184,182,high
2025-10-01T07:00Z,173,195,moderate
2025-10-01T07:30Z,171,186,moderate
2025-10-01T08:00Z,170,175,moderate
2025-10-01T08:30Z,172,169,moderate
2025-10-01T09:00Z,167,167,moderate
2025-10-01T09:30Z,159,162,moderate
2025-10-01T10:00Z,154,168,moderate
2025-10-01T10:30Z,147,156,moderate
2025-10-01T11:00Z,139,153,moderate
2025-10-01T11:30Z,133,145,moderate
2025-10-01T12:00Z,129,135,moderate
2025-10-01T12:30Z,129,130,moderate
2025-10-01T13:00Z,131,128,moderate
2025-10-01T13:30Z,133,126,moderate
2025-10-01T14:00Z,141,126,moderate
2025-10-01T14:30Z,150,142,moderate
2025-10-01T15:00Z,161,160,moderate
2025-10-01T15:30Z,168,159,moderate
2025-10-01T16:00Z,176,171,moderate
2025-10-01T16:30Z,186,178,high
2025-10-01T17:00Z,193,184,high
2025-10-01T17:30Z,197,185,high
2025-10-01T18:00Z,197,199,high
2025-10-01T18:30Z,193,204,high
2025-10-01T19:00Z,189,193,high
2025-10-01T19:30Z,185,157,high
2025-10-01T20:00Z,173,183,moderate
2025-10-01T20:30Z,157,170,moderate
2025-10-01T21:00Z,139,157,moderate
2025-10-01T21:30Z,115,146,moderate
2025-10-01T22:00Z,97,133,low
2025-10-01T22:30Z,89,119,low
2025-10-01T23:00Z,83,99,low
2025-10-01T23:30Z,84,93,low
2025-10-02T00:00Z,87,93,low
2025-10-02T00:30Z,88,88,low
2025-10-02T01:00Z,88,87,low
2025-10-02T01:30Z,89,87,low
2025-10-02T02:00Z,92,89,low
2025-10-02T02:30Z,95,90,low
2025-10-02T03:00Z,93,96,low
2025-10-02T03:30Z,95,98,low
2025-10-02T04:00Z,112,96,moderate
2025-10-02T04:30Z,127,99,moderate
2025-10-02T05:00Z,148,118,moderate
2025-10-02T05:30Z,161,128,moderate
2025-10-02T06:00Z,155,161,moderate
2025-10-02T06:30Z,162,159,moderate
2025-10-02T07:00Z,161,166,moderate
2025-10-02T07:30Z,157,161,moderate
2025-10-02T08:00Z,150,156,moderate
2025-10-02T08:30Z,138,161,moderate
2025-10-02T09:00Z,128,158,moderate
2025-10-02T09:30Z,113,133,moderate
2025-10-02T10:00Z,102,126,moderate
2025-10-02T10:30Z,92,109,low
2025-10-02T11:00Z,83,93,low
2025-10-02T11:30Z,78,92,low
2025-10-02T12:00Z,79,78,low
2025-10-02T12:30Z,77,71,low
2025-10-02T13:00Z,79,69,low
2025-10-02T13:30Z,79,66,low
2025-10-02T14:00Z,81,62,low
2025-10-02T14:30Z,86,62,low
2025-10-02T15:00Z,98,75,low
2025-10-02T15:30Z,107,90,moderate
2025-10-02T16:00Z,112,93,moderate
2025-10-02T16:30Z,114,98,moderate
2025-10-02T17:00Z,118,104,moderate
2025-10-02T17:30Z,118,107,moderate
2025-10-02T18:00Z,116,110,moderate
2025-10-02T18:30Z,106,108,moderate
2025-10-02T19:00Z,102,100,moderate
2025-10-02T19:30Z,103,97,moderate
2025-10-02T20:00Z,100,95,moderate
2025-10-02T20:30Z,91,97,low
2025-10-02T21:00Z,92,95,low
2025-10-02T21:30Z,82,91,low
2025-10-02T22:00Z,86,89,low
2025-10-02T22:30Z,82,80,low
2025-10-02T23:00Z,76,83,low
2025-10-02T23:30Z,73,85,low
2025-10-03T00:00Z,74,88,low
2025-10-03T00:30Z,78,75,low
2025-10-03T01:00Z,76,73,low
2025-10-03T01:30Z,74,71,low
2025-10-03T02:00Z,70,77,low
2025-10-03T02:30Z,67,72,low
2025-10-03T03:00Z,64,69,low
2025-10-03T03:30Z,68,67,low
2025-10-03T04:00Z,69,64,low
2025-10-03T04:30Z,71,68,low
2025-10-03T05:00Z,74,71,low
2025-10-03T05:30Z,93,69,low
2025-10-03T06:00Z,97,73,low
2025-10-03T06:30Z,111,81,moderate
2025-10-03T07:00Z,107,102,moderate
2025-10-03T07:30Z,107,120,moderate
2025-10-03T08:00Z,114,108,moderate
2025-10-03T08:30Z,111,108,moderate
2025-10-03T09:00Z,101,106,moderate
2025-10-03T09:30Z,96,105,low
2025-10-03T10:00Z,88,88,low
2025-10-03T10:30Z,86,70,low
2025-10-03T11:00Z,83,65,low
2025-10-03T11:30Z,81,68,low
2025-10-03T12:00Z,72,61,low
2025-10-03T12:30Z,72,62,low
2025-10-03T13:00Z,73,71,low
2025-10-03T13:30Z,75,67,low
2025-10-03T14:00Z,78,65,low
2025-10-03T14:30Z,76,69,low
2025-10-03T15:00Z,80,78,low
2025-10-03T15:30Z,82,69,low
2025-10-03T16:00Z,83,73,low
2025-10-03T16:30Z,92,77,low
2025-10-03T17:00Z,98,79,low
2025-10-03T17:30Z,89,84,low
2025-10-03T18:00Z,81,85,low
2025-10-03T18:30Z,68,77,low
2025-10-03T19:00Z,71,77,low
2025-10-03T19:30Z,67,71,low
2025-10-03T20:00Z,63,64,low
2025-10-03T20:30Z,65,73,low
2025-10-03T21:00Z,69,61,low
2025-10-03T21:30Z,67,62,low
2025-10-03T22:00Z,62,60,low
2025-10-03T22:30Z,59,56,low
2025-10-03T23:00Z,62,59,low
2025-10-03T23:30Z,64,58,low
2025-10-04T00:00Z,71,58,low
2025-10-04T00:30Z,72,55,low
2025-10-04T01:00Z,72,59,low
2025-10-04T01:30Z,70,58,low
2025-10-04T02:00Z,69,52,low
2025-10-04T02:30Z,67,58,low
2025-10-04T03:00Z,65,55,low
2025-10-04T03:30Z,64,55,low
2025-10-04T04:00Z,69,57,low
2025-10-04T04:30Z,69,56,low
2025-10-04T05:00Z,67,57,low
2025-10-04T05:30Z,67,58,low
2025-10-04T06:00Z,73,58,low
2025-10-04T06:30Z,79,53,low
2025-10-04T07:00Z,66,65,low
2025-10-04T07:30Z,65,67,low
2025-10-04T08:00Z,65,55,low
2025-10-04T08:30Z,60,58,low
2025-10-04T09:00Z,59,64,low
2025-10-04T09:30Z,59,57,low
2025-10-04T10:00Z,62,45,low
2025-10-04T10:30Z,58,49,low
2025-10-04T11:00Z,60,58,low
2025-10-04T11:30Z,59,55,low
2025-10-04T12:00Z,56,55,low
2025-10-04T12:30Z,57,55,low
2025-10-04T13:00Z,57,53,low
2025-10-04T13:30Z,57,49,low
2025-10-04T14:00Z,56,46,low
2025-10-04T14:30Z,57,44,low
2025-10-04T15:00Z,49,39,low
2025-10-04T15:30Z,51,42,low
2025-10-04T16:00Z,50,42,low
2025-10-04T16:30Z,51,43,low
2025-10-04T17:00Z,53,44,low
2025-10-04T17:30Z,61,43,low
2025-10-04T18:00Z,63,47,low
2025-10-04T18:30Z,64,56,low
2025-10-04T19:00Z,63,58,low
2025-10-04T19:30Z,65,57,low
2025-10-04T20:00Z,65,54,low
2025-10-04T20:30Z,62,57,low
2025-10-04T21:00Z,59,60,low
2025-10-04T21:30Z,55,60,low
2025-10-04T22:00Z,52,54,low
2025-10-04T22:30Z,57,53,low
2025-10-04T23:00Z,58,47,low
2025-10-04T23:30Z,56,47,low
2025-10-05T00:00Z,54,47,low
2025-10-05T00:30Z,55,53,low
